serial_number,occurrences
"AMD ATHLON 1.8GHZ",2
"H310M INTEL CORE I5 6500 3.2GH",5
"H310M INTEL CORE I5 6500 3.2GH B365",3
"HP BUILT UP INTEL CORE I3-3220 @3.3GHZ",2
"INTEL CELERON 1610 2.6 GHZ",2
"INTEL CORE 2 DUO E7500 3.0 GHZ",2
"INTEL CORE I3 1115G4 3.0GHZ",3
"INTEL CORE I3 2120 3.0GHZ",2
"INTEL CORE I3 3.07GHZ",2
"INTEL CORE I3 3.0GHZ",22
"INTEL CORE I3 3220 3,0GHZ",2
"INTEL CORE I3-1215U",2
"INTEL CORE I3-3220",3
"INTEL CORE I5",3
"INTEL CORE I5 3.0GHZ",7
"INTEL CORE I5 3.20GHZ",5
"INTEL CORE I5 3.4GHZ",5
"INTEL CORE I5 6400",2
"INTEL CORE I5 7400 3.0GHZ",2
"INTEL CORE I5-1135 G7",7
"INTEL CORE I7-12700",2
"INTEL CORE TO DUO E7500",2
"INTEL DUALCORE 3.0GHZ",2
"INTEL G2020 3.0GHZ",2
"INTEL G2030 2.9GHZ",2
"INTEL I3-1215UG4",2
"INTEL PENTIUM G2030 3.0 GH",2
"INTEL PROC CORE I7-10700F",2
"INTEL XEON 3.0GHZ",2
"INTEL? CORE? 2 DUO CPU",2
"LENOVO BUILT UP CORE TO DUO",3
"PENTIUM DUAL CORE 2.70",3
